definition_deltas	-	The definition-delta synthesis layer is unwired.	no	405
definition_deltas	-	`smelt migrate` does not exist	no	411
definition_deltas	-	The atomicity rule is conditional in practice.	no	416
definition_deltas	-	The conformance harness has no definition-edit step kind yet	no	424
definition_deltas	-	No approval store exists	no	426
definition_deltas	-	Open question — plan-hash scope.	yes	427
definition_deltas	-	The diagnostic name is narrower than its rule.	no	435
incremental_models	-	The scheduler does not yet consume delta signatures end to end.	no	1729
incremental_models	-	`smelt explain` does not yet print the delta-signature headline	no	1740
incremental_models	-	Per-cell `deferral` is not yet scheduled	no	1744
incremental_models	-	`diff_patch` over the region `DeleteInsert` default has no runtime lowering	no	1748
incremental_models	-	Frontmatter-time grain checking has one narrow gap	no	1751
incremental_models	-	The write-pin equivalence factor is structural only	no	1754
incremental_models	-	An inadmissible write-*variant* pin has no pre-execution gate	no	1757
incremental_models	-	Observed-delta consumption is partial	no	1761
incremental_models	-	No execution technique keys off a maintained-model creation cell	no	1766
incremental_models	-	Plan-consumer gaps	no	1769
incremental_models	-	Emission remainders	no	1775
incremental_models	-	Locality and diagnostic residues on the maintenance-plan proofs	no	1778
incremental_models	-	The ledger's warehouse substrate is DuckDB-only (Open Question)	yes	1790
incremental_models	-	Graph-layer gaps	no	1793
incremental_models	-	Delta detection for `--since-upstream` is explicit-only in v1	no	1799
incremental_models	-	Straddle attribution without locality is scoped out of the ledger's v1	no	1802
incremental_models	-	No out-of-band-edit tripwire (Open Question)	yes	1805
incremental_models	-	A proposed `on_column_add: backfill | leave_null | recompute` policy knob (Open Question)	yes	1807
incremental_models	-	The derived model-wide horizon is under construction	no	1809
incremental_models	-	Override-ladder reach (Open Question)	yes	1811
incremental_models	-	docs-site coverage of the plan's CLI surface is partial (Open Question)	yes	1817
incremental_models	-	A group merged across two mutable inputs has no group-merge-provenance policy (Open Question)	yes	1819
incremental_models	-	`change_feed` sources never get an `UpstreamMutation` cell (Open Question)	yes	1822
incremental_models	-	`INTERSECT`/`EXCEPT` are unclassified set operations	no	1825
incremental_models	-	Conditional-maintenance gaps	no	1829
incremental_shapes	The partition grain	One classification call site reads the outer SQL body	no	1074
incremental_shapes	The partition grain	The window-function batch-safety check runs on unexpanded outer SQL	no	1078
incremental_shapes	The partition grain	Per-source clamp observability is partly emitted (Open Question)	yes	1081
incremental_shapes	The partition grain	Per-column `data_latency` is unimplemented	no	1084
incremental_shapes	The partition grain	Non-deterministic row-set-membership or grouping is out of scope	no	1086
incremental_shapes	The partition grain	CTE-only `event_time_column` references are not yet detected	no	1089
incremental_shapes	The partition grain	Schema evolution on the partition grain is largely a definition delta now	yes	1092
incremental_shapes	The partition grain	The `smelt.metric()` interaction is unspecified (Open Question)	yes	1097
incremental_shapes	The partition grain	Per-`ModelDef` overrides for generator-emitted models are not part of the closed field set in v1.	no	1099
incremental_shapes	The partition grain	`g_run >= g_part` auto-coarsening is not implemented (Open Question)	yes	1101
incremental_shapes	The partition grain	Monotone-integer `partition_column` has no end-to-end run	no	1103
incremental_shapes	The key grain	A window-forward keyed run with no event-time window silently full-refreshes instead of refusing	no	1110
incremental_shapes	The key grain	The once-write classifier has no nullability route around the fallback case	no	1116
incremental_shapes	The key grain	A re-run-tolerant keyed model keeps no ledger at all unless additive-graded (Open Question)	yes	1125
incremental_shapes	The key grain	Snapshot-reconcile admits at most one unclocked source in the FROM clause (Open Question)	yes	1129
incremental_shapes	The key grain	`KeyedRetractableContribution` has no implementation (Open Question)	yes	1132
incremental_shapes	The key grain	`safety_overrides:` on a key-addressed model is not a hard error	no	1134
incremental_shapes	The key grain	The reconciliation ledger's fold is transactional on DuckDB only (Open Question)	yes	1137
incremental_shapes	The key grain	`smelt explain` prints neither the per-column guarantee ledger nor the derivable forward reach (Open Question)	yes	1140
incremental_shapes	The key grain	Key temporal locality route 2 admits only a declared functional dependency (Open Question)	yes	1143
incremental_shapes	The key grain	Locality machinery gaps	no	1146
incremental_shapes	The key grain	The derived execution postures are internal, and one of the three is not derived at all	no	1155
incremental_shapes	The key grain	The generative conformance pool cannot stage NULL payloads (Open Question)	yes	1160
incremental_shapes	The key grain	Locality open questions (Open Question)	yes	1165
incremental_shapes	The key grain	The pattern functions (`smelt.latest`, `smelt.once`, `smelt.current`) are unshipped	no	1169
incremental_shapes	The key grain	Driver granularity is `day`/`week` only (Open Question)	yes	1173
incremental_shapes	The key grain	`--auto` staleness fidelity for all-invertible models is conservative in v1 (Open Question)	yes	1175
incremental_shapes	The key grain	Self-referential keyed models are rejected (Open Question)	yes	1177
incremental_shapes	The key grain	Run-pinning alignment is deferred (Open Question)	yes	1179
incremental_shapes	The key grain	Key deletion is unresolved beyond retention	no	1181
incremental_shapes	The key grain	Ladder rungs 3–4 remain specified ahead of this profile's use of them	no	1186
incremental_shapes	The key grain	The `key_per_partition` grain derives no plan	no	1191
model_properties	-	Several declared proofs have no consumer wired yet.	no	322
model_properties	-	`EffectiveWindow` and `BoundResult` remain two separate walks (Open Question).	yes	331
model_properties	-	The composition walk is not yet the sole source of every property.	no	336
model_properties	-	Declared source lateness reaches no live scan today (Open Question)	yes	344
model_properties	-	`cumulative.rs`'s whole-SQL window-function admission scan is not yet classified onto the walk	no	347
model_properties	-	`INTERSECT`/`EXCEPT` are unclassified for filter distribution	no	352
model_properties	-	Additive-only model-diff can't detect a semantic change under an unchanged expression (Open Question)	yes	355
model_properties	-	A keyed-grain output poses no partition-locality question	no	359
